"","x","value","value.1","data1[, 3] * 10"
"603",3,-0.14657,0.011983,0.11983
"604",4,0.23068,0.013431,0.13431
"605",5,-0.246,0.0017071,0.017071
"606",6,-0.15057,0.0091273,0.091273
"607",7,0.17527,0.0075832,0.075832
"608",8,-0.62677,0.00029759,0.0029759
"609",9,0.19307,0.0060784,0.060784
"610",10,0.28212,0.001179,0.01179
"611",11,-0.16074,0.0063129,0.063129
"612",12,-0.17156,0.012861,0.12861
"613",13,-0.30595,0.0020341,0.020341
"614",14,0.22455,0.0022288,0.022288
"615",15,0.31922,0.0092249,0.092249
"616",16,0.32584,0.016093,0.16093
"617",17,0.5378,0.0056187,0.056187
"618",18,0.28497,0.0092594,0.092594
"619",19,0.012226,0.0056847,0.056847
"620",20,0.55505,0.017702,0.17702
"621",21,0.15563,0.0034896,0.034896
"622",22,-0.17541,0.012385,0.12385
"623",23,0.24167,0.011599,0.11599
"624",24,0.59525,0.0010755,0.010755
"625",25,0.20288,0.0051769,0.051769
"626",26,-0.19433,0.0091622,0.091622
"627",27,-0.33482,0.0090317,0.090317
"628",28,-0.50531,0.0097854,0.097854
"629",29,-0.68723,0.0039404,0.039404
"630",30,-0.51767,0.0041958,0.041958
"631",31,-0.31892,0.0061155,0.061155
"632",32,-0.82868,0.002413,0.02413
"633",33,-0.88872,0.0023083,0.023083
"634",34,-0.7243,0.0094714,0.094714
"635",35,-0.81178,0.0042328,0.042328
"636",36,-0.29749,0.0083415,0.083415
"637",37,-0.14218,0.0091291,0.091291
"638",38,-0.11403,0.0056479,0.056479
"639",39,-0.54442,0.010668,0.10668
"640",40,-0.25178,0.011442,0.11442
"641",41,0.004611,0.0037332,0.037332
"642",42,0.0058646,0.0016372,0.016372
"643",43,-0.31136,0.010558,0.10558
"644",44,-0.42661,0.014193,0.14193
"645",45,-0.49026,0.0039159,0.039159
"646",46,-0.93127,0.0049611,0.049611
"647",47,-0.56363,0.011657,0.11657
"648",48,-0.81473,0.0046486,0.046486
"649",49,-1.1402,0.0018134,0.018134
"650",50,-0.67665,0.009568,0.09568
