"","x","value","value.1","data1[, 3] * 10"
"349",49,-1.0109,0.00097656,0.0097656
"350",50,0.050101,0.00097656,0.0097656
"351",51,-0.41542,0.00018597,0.0018597
"352",52,-0.47782,1.4008e-05,0.00014008
"353",53,0.51409,0.00097656,0.0097656
"354",54,0.23564,0.00020065,0.0020065
"355",55,-0.59179,0.00097656,0.0097656
"356",56,-0.64246,0.0049005,0.049005
"357",57,-0.58514,0.0011616,0.011616
"358",58,-0.49177,0.00042276,0.0042276
"359",59,-0.36069,0.00097656,0.0097656
"360",60,-0.56575,0.002976,0.02976
"361",61,-0.45063,0.0009023,0.009023
"362",62,-0.72218,2.6401e-05,0.00026401
"363",63,-1.2358,2.7163e-09,2.7163e-08
"364",64,0.45379,0.00097656,0.0097656
"365",65,0.49005,2.2638e-05,0.00022638
"366",66,-0.16117,0.00097656,0.0097656
"367",67,0.4858,0.007614,0.07614
"368",68,-0.30647,0.00097656,0.0097656
"369",69,-0.65119,0.0015972,0.015972
"370",70,0.30882,0.00097656,0.0097656
"371",71,0.65161,0.00012232,0.0012232
"372",72,0.40342,1.4698e-06,1.4698e-05
"373",73,0.42881,0.00097656,0.0097656
"374",74,0.78806,3.353e-07,3.353e-06
"375",75,-1.4347,0.00097656,0.0097656
"376",76,-1.6892,0.00056413,0.0056413
"377",77,-1.7121,0.00029389,0.0029389
"378",78,-1.3536,0.00031908,0.0031908
"379",79,-1.5192,0.00023254,0.0023254
"380",80,-1.228,0.00029928,0.0029928
"381",81,-1.7082,0.00097656,0.0097656
"382",82,-1.9925,0.0018458,0.018458
"383",83,-1.5743,0.0020251,0.020251
"384",84,-0.9711,0.00097656,0.0097656
"385",85,-1.2741,0.00097656,0.0097656
"386",86,-1.3455,0.00036585,0.0036585
"387",87,-0.99749,0.00016306,0.0016306
"388",88,-0.6565,0.0002746,0.002746
"389",89,-1.25,0.00097656,0.0097656
"390",90,-1.4145,0.00047339,0.0047339
"391",91,-1.1807,0.00015251,0.0015251
"392",92,-1.2028,6.307e-05,0.0006307
"393",93,-1.4542,0.00097656,0.0097656
"394",94,-1.5292,0.00079287,0.0079287
"395",95,-1.6711,0.00068938,0.0068938
"396",96,-2.2007,0.021669,0.21669
"397",97,-2.1828,0.015227,0.15227
"398",98,-2.1159,0.0089821,0.089821
"399",99,-1.6658,0.017858,0.17858
"400",100,-1.5447,0.0027661,0.027661
"401",1,-0.033234,9.5774e-05,0.00095774
"402",2,-0.11953,0.00097656,0.0097656
"403",3,-0.09488,0.00023214,0.0023214
"404",4,-0.07041,0.0003903,0.003903
"405",5,-0.64747,0.00097656,0.0097656
"406",6,-0.81426,0.00066452,0.0066452
"407",7,-0.88194,0.00019727,0.0019727
"408",8,-0.81861,2.8915e-06,2.8915e-05
"409",9,1.1592,0.00097656,0.0097656
"410",10,0.87157,3.2329e-06,3.2329e-05
"411",11,-0.75717,0.00097656,0.0097656
"412",12,-0.79911,0.00013145,0.0013145
"413",13,-0.63468,4.6041e-05,0.00046041
"414",14,0.78047,0.00097656,0.0097656
"415",15,0.39589,0.00097656,0.0097656
"416",16,0.2219,5.5656e-05,0.00055656
"417",17,-0.052981,0.00097656,0.0097656
"418",18,0.064397,0.00013564,0.0013564
"419",19,-0.06143,5.2186e-05,0.00052186
"420",20,0.075258,0.00097656,0.0097656
"421",21,0.073371,0.0060748,0.060748
"422",22,0.32943,0.0031505,0.031505
"423",23,0.39491,0.00097656,0.0097656
"424",24,0.12525,6.6947e-06,6.6947e-05
"425",25,0.83391,0.00097656,0.0097656
"426",26,1.0018,2.1046e-08,2.1046e-07
"427",27,1.0878,2.44e-12,2.44e-11
"428",28,0.82651,4.9074e-17,4.9074e-16
"429",29,-0.50342,0.00097656,0.0097656
"430",30,-0.71296,0.00021216,0.0021216
"431",31,-0.59798,0.00097656,0.0097656
"432",32,-0.13247,0.0013966,0.013966
"433",33,-1.1196,0.00097656,0.0097656
"434",34,-0.95113,0.00059513,0.0059513
"435",35,-1.0185,6.6622e-05,0.00066622
"436",36,-1.3284,2.3203e-08,2.3203e-07
"437",37,-1.2398,3.1649e-08,3.1649e-07
"438",38,-0.85999,0.00097656,0.0097656
"439",39,-0.74109,0.00051929,0.0051929
"440",40,0.36315,0.00097656,0.0097656
"441",41,0.61587,6.5631e-05,0.00065631
"442",42,-0.83198,0.00097656,0.0097656
"443",43,-1.146,0.0010572,0.010572
"444",44,-1.0878,0.00038705,0.0038705
"445",45,-0.97573,0.00016942,0.0016942
"446",46,-0.87361,0.00097656,0.0097656
"447",47,-1.0046,0.0012267,0.012267
"448",48,-0.77165,0.00063559,0.0063559
"449",49,-1.0109,0.00097656,0.0097656
